 Procedure...              ...is found in
==========================================
AddBitmapHeader               LOWLEVEL.BAS
AlignChar$                       FONTS.BAS
Arcs                           FIGURES.BAS
Bar3D                          FIGURES.BAS
BoldText$                      LZRTEXT.BAS
BoldTextP$                       FONTS.BAS
BotBar3D                       FIGURES.BAS
CenterText$                    LZRTEXT.BAS
CenterTextP$                     FONTS.BAS
CharSpacing$                   LZRTEXT.BAS
CheckHeader                      FONTS.BAS
Circles                        FIGURES.BAS
CompFont$                      LZRTEXT.BAS
CreatePSTable                    FONTS.BAS
CropImage                       IMAGES.BAS
CrossHairs$                   LASERFNS.BAS
DesignateFont$                   FONTS.BAS
DiagLine                       FIGURES.BAS
DiagLine                      LPADDONS.BAS
DiagOffset!                    FIGURES.BAS
DoPrint&                      LASERFNS.BAS
EjectPage$                    LASERFNS.BAS
Ellipse                        FIGURES.BAS
EndGraphics$                  PATTERNS.BAS
ErasePattern                  PATTERNS.BAS
ExtractID%                       FONTS.BAS
FileToPrinter                   IMAGES.BAS
FillArrow                     PATTERNS.BAS
FillCircle                    PATTERNS.BAS
FillCorner                    PATTERNS.BAS
FillCrescent                  PATTERNS.BAS
FillDiamond                   PATTERNS.BAS
FillDriver                    LASERFNS.BAS
FillEllipse                   PATTERNS.BAS
FillFillet                    PATTERNS.BAS
FillPie                       PATTERNS.BAS
FillRectangle                 PATTERNS.BAS
FillTrap                      PATTERNS.BAS
FillTrap2                     PATTERNS.BAS
FillTriangle                  PATTERNS.BAS
FineTrimImage                 CONVERSN.BAS
FixedSpacing$                  LZRTEXT.BAS
FlipHoriz                       IMAGES.BAS
FlipVert                        IMAGES.BAS
FlushRight$                    LZRTEXT.BAS
FlushRightP$                     FONTS.BAS
FontCopy                      LZRPAKxx.LIB
FontHeader                       FONTS.BAS
FormatText                     LZRTEXT.BAS
FormatTextP                      FONTS.BAS
GetBitmapHeader               LOWLEVEL.BAS
GetCount                      LZRPAKxx.LIB
GetDefPat                     LZRPAKxx.LIB
GetHandle                     LZRPAKxx.LIB
GetLineTint                   LZRPAKxx.LIB
GetOffsets                    LZRPAKxx.LIB
GetPattern                    PATTERNS.BAS
GrayScale$                    LASERFNS.BAS
HorzGrid$                       GRAPHS.BAS
HorzLine$                     LASERFNS.BAS
HorzScale$                      GRAPHS.BAS
HorzTitles$                     GRAPHS.BAS
HorzTitlesP$                    GRAPHS.BAS
HPPattern$                    LASERFNS.BAS
Image2Text                    CONVERSN.BAS
Initial$                      LASERFNS.BAS
InitialFile                   LOWLEVEL.BAS
InsertBoldCode$                  FONTS.BAS
InsertTabCode$                   FONTS.BAS
InsertULCode$                    FONTS.BAS
JustifyText$                   LZRTEXT.BAS
JustifyTextP$                    FONTS.BAS
KnockOut                        IMAGES.BAS
LeftSideBar                    FIGURES.BAS
LeftTextP$                       FONTS.BAS
LineFeed$                     LASERFNS.BAS
Lines                          FIGURES.BAS
LoadPSTable                      FONTS.BAS
MakeImage                     CONVERSN.BAS
MaskImage                       IMAGES.BAS
MergeExclusive                  IMAGES.BAS
MergeImage                      IMAGES.BAS
MoveCursor$                   LASERFNS.BAS
MoveDots$                     LASERFNS.BAS
MoveImage                       IMAGES.BAS
OpenFile%                     LASERFNS.BAS
PadImage                        IMAGES.BAS
PatternLine$                  PATTERNS.BAS
Pies                           FIGURES.BAS
PlotLine                        GRAPHS.BAS
PopCursor$                    LASERFNS.BAS
Port2Land                     CONVERSN.BAS
PosCursor$                    LASERFNS.BAS
PrintImage                      IMAGES.BAS
PrintOffset                   LASERFNS.BAS
PrintPattern$                 PATTERNS.BAS
PrintPCX                        IMAGES.BAS
PrintPCXC                       IMAGES.BAS
Proportional$                  LZRTEXT.BAS
PushCursor$                   LASERFNS.BAS
PutCount                      LZRPAKxx.LIB
PutDefPat                     LZRPAKxx.LIB
PutHandle                     LZRPAKxx.LIB
PutLineTint                   LZRPAKxx.LIB
PutOffsets                    LZRPAKxx.LIB
RadialLine                     FIGURES.BAS
Rectangle$                    LASERFNS.BAS
Resolution$                   LASERFNS.BAS
ReverseBitmap                 PATTERNS.BAS
ReverseImage                    IMAGES.BAS
ReversePattern                PATTERNS.BAS
RightSideBar                   FIGURES.BAS
SavePSTable                      FONTS.BAS
ScreenImage                     IMAGES.BAS
ShiftImage                      IMAGES.BAS
SkewImage                       IMAGES.BAS
Slant                         LZRPAKxx.LIB
SlantText$                     LZRTEXT.BAS
Slices                         FIGURES.BAS
SpecifyFontID$                   FONTS.BAS
StartGraphics$                PATTERNS.BAS
StdFont$                       LZRTEXT.BAS
Symbols                         GRAPHS.BAS
TDot$                         LASERFNS.BAS
Text2Image                    CONVERSN.BAS
TextDots                         FONTS.BAS
TopBar3D                       FIGURES.BAS
TPos$                         LASERFNS.BAS
TrimImage                     CONVERSN.BAS
UnderlineOff$                  LZRTEXT.BAS
UnderlineOn$                   LZRTEXT.BAS
UnderlineP$                      FONTS.BAS
UserRectangle                 PATTERNS.BAS
ValidBitmap%                  LOWLEVEL.BAS
ValidFont%                       FONTS.BAS
VertGrid$                       GRAPHS.BAS
VertLine$                     LASERFNS.BAS
VertScale$                      GRAPHS.BAS
VertText$                      LZRTEXT.BAS
VertTitles$                     GRAPHS.BAS
VertTitlesP$                    GRAPHS.BAS
